",""source"",""target"",""date"",""type"",""weight"",""date_index"""
"207,""Jiang"",""Justice"",""2011-01-31 00:00:00"",""email"",1,82"
"208,""Jiang"",""Leek"",""2011-01-31 00:00:00"",""email"",1,82"
"209,""Jiang"",""Sorby"",""2011-01-31 00:00:00"",""email"",1,82"
"210,""Justice"",""Jiang"",""2011-01-31 00:30:00"",""email"",1,83"
"211,""Justice"",""Leek"",""2011-01-31 00:30:00"",""email"",1,83"
"212,""Justice"",""Sorby"",""2011-01-31 00:30:00"",""email"",1,83"
"213,""Justice"",""Dawtry"",""2011-01-31 01:00:00"",""email"",1,84"
"214,""Jiang"",""Justice"",""2011-03-16 00:00:00"",""email"",1,85"
"215,""Jiang"",""Leek"",""2011-03-16 00:00:00"",""email"",1,85"
"216,""Jiang"",""Sorby"",""2011-03-16 00:00:00"",""email"",1,85"
"217,""Kim_T"",""Leek"",""2011-04-26 00:00:00"",""email"",1,86"
"218,""Kim_T"",""Leek"",""2011-05-03 00:00:00"",""email"",1,87"
"219,""Kim_T"",""Leek"",""2011-06-13 00:00:00"",""email"",1,88"
"220,""Leek"",""Kim_T"",""2011-06-14 00:00:00"",""email"",1,89"
"221,""Leek"",""Justice"",""2011-06-14 00:00:00"",""email"",1,89"
"222,""Leek"",""Evans"",""2011-06-14 00:00:00"",""email"",1,89"
"223,""Justice"",""Jiang"",""2011-06-20 00:00:00"",""email"",1,90"
"224,""Jiang"",""Justice"",""2011-06-21 00:00:00"",""email"",1,91"
"225,""Justice"",""Leek"",""2011-06-22 00:00:00"",""email"",1,92"
"226,""Jiang"",""Justice"",""2011-08-17 00:00:00"",""email"",1,93"
"227,""Jiang"",""Leek"",""2011-08-17 00:00:00"",""email"",1,93"
"228,""Justice"",""Jiang"",""2011-08-18 00:00:00"",""email"",1,94"
"229,""Jiang"",""Justice"",""2011-08-18 00:00:00"",""email"",1,94"
"230,""Kim_T"",""Leek"",""2011-09-23 00:00:00"",""email"",1,95"
"231,""Jiang"",""Leek"",""2011-11-11 00:00:00"",""email"",1,96"
"232,""Jiang"",""Shillam"",""2011-11-11 00:00:00"",""email"",1,96"
"233,""Jiang"",""Justice"",""2011-11-11 00:00:00"",""email"",1,96"
"234,""Justice"",""Leek"",""2011-11-11 00:30:00"",""email"",1,97"
"235,""Justice"",""Shillam"",""2011-11-11 00:30:00"",""email"",1,97"
"236,""Leek"",""Justice"",""2011-11-11 01:00:00"",""email"",1,98"
"237,""Leek"",""Shillam"",""2011-11-11 01:00:00"",""email"",1,98"
"238,""Shillam"",""Leek"",""2011-11-11 01:30:00"",""email"",1,99"
"239,""Shillam"",""Justice"",""2011-11-11 01:30:00"",""email"",1,99"
"240,""Justice"",""Leek"",""2011-11-12 00:00:00"",""email"",1,100"
"241,""Justice"",""Shillam"",""2011-11-12 00:00:00"",""email"",1,100"
"242,""Justice"",""Jiang"",""2011-11-12 00:00:00"",""email"",1,100"
"243,""Jiang"",""Leek"",""2011-12-01 00:00:00"",""email"",1,101"
"244,""Jiang"",""Shillam"",""2011-12-01 00:00:00"",""email"",1,101"
"245,""Jiang"",""Justice"",""2011-12-01 00:00:00"",""email"",1,101"
"246,""Leek"",""Jiang"",""2011-12-01 00:30:00"",""email"",1,102"
"247,""Leek"",""Shillam"",""2011-12-01 00:30:00"",""email"",1,102"
"248,""Leek"",""Justice"",""2011-12-01 00:30:00"",""email"",1,102"
"249,""Jiang"",""Leek"",""2011-12-13 00:00:00"",""email"",1,103"
"250,""Jiang"",""Shillam"",""2011-12-13 00:00:00"",""email"",1,103"
"251,""Leek"",""Jiang"",""2011-12-14 00:00:00"",""email"",1,104"
"252,""Leek"",""Shillam"",""2011-12-14 00:00:00"",""email"",1,104"
"253,""Leek"",""Jiang"",""2011-12-14 00:30:00"",""email"",1,105"
"254,""Jiang"",""Leek"",""2011-12-14 00:30:00"",""email"",1,105"
"255,""Jiang"",""Leek"",""2011-12-14 01:00:00"",""email"",1,106"
"256,""Jiang"",""Shillam"",""2011-12-14 01:00:00"",""email"",1,106"
"257,""Leek"",""Dawtry"",""2011-12-14 01:30:00"",""email"",1,107"
"258,""Dawtry"",""Jiang"",""2012-06-14 00:00:00"",""email"",1,108"
"259,""Jiang"",""Dawtry"",""2012-06-14 00:30:00"",""email"",1,109"
"260,""Jiang"",""Leek"",""2012-06-14 00:30:00"",""email"",1,109"
